# reactions: 4
Time	S1	S2	S3	Fired Reaction
0.0	100000.0	0.0	0.0	 0
2.0229268468578112e-08	99998.0	1.0	0.0	 2
1.2514741660076664e-07	99996.0	2.0	0.0	 2
1.667097704222012e-07	99994.0	3.0	0.0	 2
2.66799155846659e-07	99992.0	4.0	0.0	 2
3.8351988292733557e-07	99990.0	5.0	0.0	 2
5.053847614375127e-07	99988.0	6.0	0.0	 2
6.055903765028164e-07	99986.0	7.0	0.0	 2
6.465409945933717e-07	99984.0	8.0	0.0	 2
8.963934064445839e-07	99982.0	9.0	0.0	 2
9.430316278441884e-07	99980.0	10.0	0.0	 2
9.47763284665011e-07	99978.0	11.0	0.0	 2
9.98942730148866e-07	99976.0	12.0	0.0	 2
1.1039465409680697e-06	99974.0	13.0	0.0	 2
1.1614789855468196e-06	99972.0	14.0	0.0	 2
1.2076347816494485e-06	99970.0	15.0	0.0	 2
1.4761840672981883e-06	99968.0	16.0	0.0	 2
1.6731220586837084e-06	99966.0	17.0	0.0	 2
1.7034567222217085e-06	99964.0	18.0	0.0	 2
1.7105980232974931e-06	99962.0	19.0	0.0	 2
1.7231761445574317e-06	99960.0	20.0	0.0	 2
1.7779351262701644e-06	99958.0	21.0	0.0	 2
1.798413244058684e-06	99956.0	22.0	0.0	 2
1.7988283569539996e-06	99954.0	23.0	0.0	 2
2.0055045700441994e-06	99952.0	24.0	0.0	 2
2.2902878291604947e-06	99950.0	25.0	0.0	 2
2.4227843881117427e-06	99948.0	26.0	0.0	 2
2.5424468557172677e-06	99946.0	27.0	0.0	 2
2.5431606420463893e-06	99944.0	28.0	0.0	 2
2.7269081310281046e-06	99942.0	29.0	0.0	 2
2.802211184987683e-06	99940.0	30.0	0.0	 2
2.9495271325804798e-06	99938.0	31.0	0.0	 2
3.006835500466026e-06	99936.0	32.0	0.0	 2
3.062015680399243e-06	99934.0	33.0	0.0	 2
3.1054658917393088e-06	99932.0	34.0	0.0	 2
3.2313861073981006e-06	99930.0	35.0	0.0	 2
3.3916219979544324e-06	99928.0	36.0	0.0	 2
3.4382765615193745e-06	99926.0	37.0	0.0	 2
3.4592423650711145e-06	99924.0	38.0	0.0	 2
3.5266749124058496e-06	99922.0	39.0	0.0	 2
3.7311470011736878e-06	99920.0	40.0	0.0	 2
3.7819457080763384e-06	99918.0	41.0	0.0	 2
3.7880531147907325e-06	99916.0	42.0	0.0	 2
3.858798157533114e-06	99914.0	43.0	0.0	 2
3.8760078268023215e-06	99912.0	44.0	0.0	 2
3.8979726912968765e-06	99910.0	45.0	0.0	 2
3.92004393680069e-06	99908.0	46.0	0.0	 2
4.006764332987135e-06	99906.0	47.0	0.0	 2
4.037490074831185e-06	99904.0	48.0	0.0	 2
4.075428615941143e-06	99902.0	49.0	0.0	 2
4.158203474714214e-06	99900.0	50.0	0.0	 2
4.276184837599397e-06	99898.0	51.0	0.0	 2
4.3681096836674825e-06	99896.0	52.0	0.0	 2
4.379464281523387e-06	99894.0	53.0	0.0	 2
4.446479791099068e-06	99892.0	54.0	0.0	 2
4.500213139312456e-06	99890.0	55.0	0.0	 2
4.5938339797817755e-06	99888.0	56.0	0.0	 2
4.727228375659148e-06	99886.0	57.0	0.0	 2
4.887417816779487e-06	99884.0	58.0	0.0	 2
4.92167738057777e-06	99882.0	59.0	0.0	 2
4.975055847907677e-06	99880.0	60.0	0.0	 2
5.031991657483299e-06	99878.0	61.0	0.0	 2
5.147397923487327e-06	99876.0	62.0	0.0	 2
5.452847095387823e-06	99874.0	63.0	0.0	 2
5.4858053596813835e-06	99872.0	64.0	0.0	 2
5.487139267316358e-06	99870.0	65.0	0.0	 2
